crime,date,hour,lat,long,h,hora
VIOLACION,29/04/2020,10:00,19.47962995,-99.0788219,10,10
VIOLACION,29/04/2020,21:00,19.43921378,-99.0851432,21,21
VIOLACION,28/04/2020,19:00,19.41136233,-99.06080895,19,19
VIOLACION,28/04/2020,09:00,19.34818725,-99.07923795,9,9
VIOLACION,28/04/2020,12:00,19.43893032,-99.14192262,12,12
VIOLACION,27/04/2020,02:15,19.3359245,-99.0218553,2,2
VIOLACION,27/04/2020,12:00,19.49608478,-99.09192107,12,12
VIOLACION,26/04/2020,05:00,19.36161561,-99.07635845,5,5
VIOLACION,26/04/2020,10:30,19.41600697,-99.1101289,10,10
VIOLACION,25/04/2020,04:00,19.4456552,-99.0920632,4,4
VIOLACION,25/04/2020,12:30,19.29769148,-99.17988349,12,12
VIOLACION,25/04/2020,00:30,19.33885131,-98.99348819,0,0.1
VIOLACION,25/04/2020,21:30,19.43251192,-99.15040677,21,21
VIOLACION,24/04/2020,18:30,19.35433018,-99.10132005,18,18
VIOLACION,23/04/2020,18:15,19.5754326,-99.1346853,18,18
VIOLACION,23/04/2020,17:00,19.3259761,-99.0448776,17,17
VIOLACION,22/04/2020,17:00,19.3555289,-99.24274778,17,17
VIOLACION,22/04/2020,19:00,19.5617568,-99.1303962,19,19
VIOLACION,22/04/2020,18:15,19.5075958,-99.1539262,18,18
VIOLACION,20/04/2020,19:00,19.3327577,-99.0399932,19,19
VIOLACION,20/04/2020,01:00,19.38024691,-99.20429634,1,1
VIOLACION,19/04/2020,07:00,19.39200602,-99.20948295,7,7
VIOLACION,19/04/2020,06:10,19.34479192,-99.02336008,6,6
VIOLACION,18/04/2020,00:00,19.32060255,-99.06775022,0,0.1
VIOLACION,18/04/2020,21:30,19.39144482,-99.20889096,21,21
VIOLACION,17/04/2020,01:00,19.3559298,-99.1028143,1,1
VIOLACION,17/04/2020,22:00,19.4667061,-99.1385444,22,22
VIOLACION,17/04/2020,05:50,19.44888364,-99.13433546,5,5
VIOLACION,16/04/2020,21:30,19.3620343,-99.1166158,21,21
VIOLACION,16/04/2020,16:30,19.54561047,-99.1347774,16,16
VIOLACION,15/04/2020,21:00,19.39730512,-99.20494976,21,21
VIOLACION,14/04/2020,01:00,19.2842074,-99.2041178,1,1
VIOLACION,14/04/2020,14:20,19.43431953,-99.15336254,14,14
VIOLACION,14/04/2020,01:00,19.45569546,-99.14244942,1,1
VIOLACION,13/04/2020,03:30,19.32104929,-99.05459625,3,3
VIOLACION,13/04/2020,21:00,19.36266819,-99.1188094,21,21
VIOLACION,13/04/2020,01:30,19.36304049,-99.01270179,1,1
VIOLACION,13/04/2020,05:00,19.38891744,-99.11552838,5,5
VIOLACION,13/04/2020,06:00,19.2668674,-99.1028187,6,6
VIOLACION,12/04/2020,02:00,19.5001036,-99.0980221,2,2
VIOLACION,12/04/2020,21:45,19.5007261,-99.07289012,21,21
VIOLACION,12/04/2020,01:00,19.40441943,-99.06548079,1,1
VIOLACION,11/04/2020,23:00,19.26151302,-99.17334701,23,23
VIOLACION,11/04/2020,21:31,19.30591597,-99.1112,21,21
VIOLACION,10/04/2020,00:00,19.2892324,-99.04664084,0,0.1
VIOLACION,10/04/2020,12:00,19.44772483,-99.12028504,12,12
VIOLACION,10/04/2020,15:00,19.42101283,-99.1579353,15,15
VIOLACION,10/04/2020,12:00,19.32963362,-99.06657457,12,12
VIOLACION,09/04/2020,07:30,19.47540387,-99.20422525,7,7
VIOLACION,09/04/2020,06:00,19.4547607,-99.1895438,6,6
VIOLACION,09/04/2020,00:00,19.4213876,-99.12037927,0,0.1
VIOLACION,09/04/2020,00:20,19.34855613,-99.27774913,0,0.1
VIOLACION,08/04/2020,00:30,19.41870028,-99.13425198,0,0.1
VIOLACION,07/04/2020,11:00,19.34402432,-98.99736598,11,11
VIOLACION,06/04/2020,01:30,19.41845582,-99.16647302,1,1
VIOLACION,06/04/2020,19:00,19.336807,-98.9894147,19,19
VIOLACION,06/04/2020,16:00,19.32955961,-99.03198001,16,16
VIOLACION,05/04/2020,04:30,19.30384538,-99.23476383,4,4
VIOLACION,05/04/2020,15:00,19.35149951,-99.23886616,15,15
VIOLACION,02/04/2020,04:00,19.40658283,-99.11124349,4,4
VIOLACION,02/04/2020,16:00,19.33565442,-98.98537192,16,16
VIOLACION,31/03/2020,19:40,19.50011868,-99.1007439,19,19
VIOLACION,31/03/2020,11:10,19.37801187,-99.17772208,11,11
VIOLACION,30/03/2020,09:45,19.4302678,-99.1373136,9,9
VIOLACION,30/03/2020,19:30,19.49620156,-99.07673099,19,19
VIOLACION,30/03/2020,03:30,19.504474,-99.08271259,3,3
VIOLACION,28/03/2020,05:00,19.2930689,-99.23478043,5,5
VIOLACION,28/03/2020,06:00,19.34381386,-99.10131689,6,6
VIOLACION,28/03/2020,19:50,19.2784072,-99.17914144,19,19
VIOLACION,27/03/2020,15:40,19.5381438,-99.1383513,15,15
